,Glucose,Ethanol,Acetate,Maltose
TQ(UUG)E2,0.00347,0.00130,0.00224,0.00349
YELCDELTA4,0.05457,0.02046,0.02688,0.02224
YELWDELTA5,0.00064,0.00004,0.00006,0.00013
YELWDELTA6,0.00403,0.00171,0.00220,0.00147
TR(UCU)E,0.00147,0.00093,0.00081,0.00082
YERWDELTA7,0.00085,0.00069,0.00055,0.00040
TE(UUC)E1,0.02731,0.01107,0.00861,0.01346
TH(GUG)E1,0.00504,0.00256,0.00275,0.00283
YERCDELTA8,0.00172,0.00088,0.00125,0.00080
YERWDELTA9,0.00194,0.00117,0.00150,0.00083
YERCSIGMA1,0.03143,0.01433,0.01554,0.01164
TQ(UUG)E1,0.00380,0.00142,0.00258,0.00399
YERCDELTA10,0.00277,0.00180,0.00205,0.00078
TS(UGA)E,0.00775,0.00327,0.00390,0.00522
YDRCDELTA22,0.08628,0.02752,0.03136,0.03203
YDRWSIGMA4,0.00098,0.00059,0.00045,0.00031
TG(GCC)D2,0.01732,0.00701,0.00770,0.01039
TE(CUC)D,0.00688,0.00326,0.00210,0.00438
YDRWSIGMA5,0.01895,0.00907,0.01023,0.00498
TV(CAC)D,0.00646,0.00360,0.00247,0.00399
YDRWDELTA23,0.10423,0.04144,0.04588,0.04022
YDRWTY1-4,0.05172,0.01428,0.01645,0.02072
YDRWDELTA24,0.10546,0.04230,0.04716,0.04122
YDRWDELTA25,0.01176,0.00401,0.00559,0.00460
YDRCSIGMA6,0.00092,0.00092,0.00092,0.00037
YDRWDELTA26,0.02556,0.01153,0.01294,0.00860
YDRWDELTA27,0.11188,0.03932,0.04183,0.05264
YDRWTY1-5,0.11067,0.03611,0.04152,0.05553
YDRWDELTA28,0.08725,0.02862,0.03784,0.04025
TG(CCC)D,0.00090,0.00066,0.00031,0.00048
TS(AGA)D3,0.00752,0.00256,0.00169,0.00303
YDRWDELTA29,0.03080,0.01314,0.01820,0.01315
YDRWDELTA30,0.00044,0.00029,0.00047,0.00047
YDRWDELTA31,0.00190,0.00103,0.00153,0.00028
YDR542W,0.05071,0.00832,0.00882,0.01405
YDRWDELTA10,0.00066,0.00040,0.00053,0.00026
TQ(UUG)D3,0.00410,0.00203,0.00274,0.00572
YDRWDELTA11,0.09636,0.02710,0.03054,0.05246
YDRWDELTA13,0.03130,0.01378,0.01980,0.01113
YDRWTY2-2,0.05170,0.02183,0.02265,0.01856
YDRWDELTA14,0.02490,0.01063,0.01492,0.00887
YDRCTY1-2,0.10175,0.02933,0.03273,0.05566
YDRWDELTA12,0.02808,0.00860,0.01090,0.00890
YDRCSIGMA3,0.05296,0.02581,0.02867,0.01974
TS(AGA)D2,0.00760,0.00299,0.00204,0.00507
YDRWDELTA19,0.02979,0.01213,0.01619,0.01289
YDRWTY2-3,0.11324,0.03770,0.03983,0.05142
YDRWDELTA20,0.05902,0.02068,0.02804,0.02683
YDRCDELTA21,0.07292,0.02509,0.03257,0.03559
YDRCTY1-3,0.05708,0.01938,0.02450,0.03002
YDRCDELTA2,0.00120,0.00116,0.00149,0.00088
YDRCDELTA3,0.03371,0.01341,0.01535,0.01327
YDRCDELTA4,0.06035,0.02321,0.02801,0.02716
YDRCTY2-1,0.38719,0.12455,0.13170,0.19924
YDRCDELTA5,0.03213,0.01193,0.01492,0.01333
YDRCDELTA6A,0.00119,0.00054,0.00066,0.00025
YDRWDELTA7,0.00901,0.00415,0.00452,0.00409
TQ(UUG)D1,0.00388,0.00130,0.00212,0.00445
TR(UCU)D,0.00233,0.00080,0.00077,0.00082
TR(ACG)D,0.00194,0.00143,0.00132,0.00218
TQ(UUG)D2,0.00475,0.00149,0.00209,0.00369
YDRCDELTA7,0.06975,0.02510,0.03271,0.02907
YDRCTY1-1,0.11851,0.03450,0.03765,0.04159
YDRCDELTA8,0.07425,0.02738,0.03254,0.02745
YDRCSIGMA1,0.00737,0.00796,0.00545,0.00238
YDRCDELTA9,0.00110,0.00051,0.00038,0.00052
YDRCSIGMA2,0.08084,0.05997,0.05463,0.03796
TP(AGG)C,0.00124,0.00038,0.00102,0.00136
YCRCDELTA6,0.07270,0.02837,0.03223,0.02818
YCR007C,0.00441,0.00230,0.00215,0.00173
TN(GUU)C,0.00584,0.00338,0.00282,0.00343
TG(GCC)C,0.01406,0.00694,0.00714,0.01140
YCRCDELTA7,0.00326,0.00179,0.00162,0.00138
YCRWDELTA8,0.00108,0.00079,0.00076,0.00055
YCRWDELTA9,0.00087,0.00041,0.00053,0.00041
YCRCtau1,0.00050,0.00052,0.00001,0.00014
YCRWDELTA10,0.05636,0.02577,0.02726,0.02039
TQ(UUG)C,0.00433,0.00158,0.00238,0.00393
YCRWDELTA11,0.00115,0.00096,0.00106,0.00083
YCRWDELTA12,0.00235,0.00154,0.00137,0.00098
YCRWOMEGA3,0.00046,0.00029,0.00002,0.00009
YCRWDELTA13,0.00089,0.00083,0.00070,0.00047
YCRCDELTA14,0.00054,0.00063,0.00136,0.00030
YDL248W,0.02596,0.00865,0.00750,0.01136
TG(GCC)D1,0.01419,0.00669,0.00655,0.01159
TA(AGC)D,0.00374,0.00270,0.00308,0.00615
YDLCDELTA1,0.00833,0.00420,0.00601,0.00264
YDLWTAU1,0.01064,0.00654,0.00747,0.00410
TS(AGA)D1,0.00515,0.00231,0.00197,0.00511
YBRWDELTA17,0.00223,0.00177,0.00152,0.00082
TQ(UUG)B,0.00504,0.00227,0.00298,0.00523
TR(UCU)B,0.00280,0.00113,0.00109,0.00080
YBRCDELTA18,0.00036,0.00018,0.00012,0.00014
YBRCDELTA19,0.00152,0.00061,0.00064,0.00072
TE(UUC)B,0.03168,0.01322,0.00935,0.02223
YBR302C,0.03047,0.03671,0.03417,0.01161
YCLWOMEGA1,0.00057,0.00018,0.00031,0.00014
YCLWTY5-1,0.00034,0.00016,0.00009,0.00012
YCLWOMEGA2,0.00039,0.00024,0.00018,0.00019
TE(UUC)C,0.02852,0.01216,0.00915,0.02064
YCLCDELTA1,0.00746,0.00244,0.00323,0.00328
YCLWDELTA2A,0.03938,0.01387,0.01804,0.02096
YCLWDELTA3,0.03054,0.01188,0.01715,0.01346
YCLWdelta2b,0.00173,0.00141,0.00272,0.00085
YCLWDELTA4,0.09160,0.02969,0.03352,0.03465
YCLWTY2-1,0.17032,0.04743,0.05030,0.08690
YCLWDELTA5,0.07639,0.02778,0.02918,0.02666
YBLWDELTA3,0.00006,0.00000,0.00009,0.00001
YBLWDELTA4,0.02949,0.01223,0.01505,0.01299
YBLWTY2-1,0.04811,0.01501,0.01888,0.01829
YBLWDELTA5,0.03583,0.01341,0.01679,0.01649
YBLWDELTA6,0.00509,0.00537,0.00708,0.00435
YBLWTAU1,0.06093,0.03420,0.03811,0.02499
YBLCDELTA7,0.00163,0.00071,0.00083,0.00039
TG(GCC)B,0.01796,0.00731,0.00741,0.01029
YBLCSIGMA1,0.01560,0.00620,0.00810,0.00520
YBLWDELTA8,0.01148,0.00566,0.00677,0.00365
YBLWDELTA9,0.07718,0.02333,0.02907,0.03122
YBLWTY1-1,0.09688,0.02151,0.02259,0.04184
YBLWDELTA10,0.10294,0.03388,0.03990,0.04092
TS(AGA)B,0.00692,0.00258,0.00214,0.00502
YBRCDELTA11,0.00124,0.00096,0.00073,0.00040
YBRWDELTA12,0.06682,0.02271,0.03291,0.02292
YBRWTY1-2,0.07763,0.02211,0.02474,0.02809
YBRWDELTA13,0.06116,0.02068,0.02677,0.02491
YBRCDELTA14,0.00077,0.00014,0.00022,0.00012
TV(UAC)B,0.00324,0.00116,0.00116,0.00286
YBRWDELTA15,0.00215,0.00145,0.00169,0.00086
YBRWDELTA16,0.00403,0.00590,0.00519,0.00207
YPRCTY1-2,0.11765,0.03481,0.03816,0.04835
YPRCDELTA19,0.07790,0.02573,0.03163,0.02663
YPRWDELTA20,0.09211,0.03438,0.04001,0.03086
YPRWTY1-3,0.34860,0.07359,0.07568,0.14654
YPRWDELTA21,0.08213,0.03303,0.04042,0.03076
YPRCDELTA22,0.00082,0.00064,0.00071,0.00039
YPRCDELTA23,0.12092,0.04588,0.05278,0.05850
YPRCTY1-4,0.04469,0.01240,0.01325,0.02031
YPRCDELTA24,0.10545,0.04372,0.04810,0.04648
YPRWSIGMA3,0.01388,0.00617,0.00740,0.00435
TA(AGC)P,0.00354,0.00304,0.00327,0.00474
TG(GCC)P2,0.01748,0.00746,0.00789,0.01174
YPRWSIGMA4,0.00322,0.00289,0.00250,0.00238
YPRCTAU3,0.00172,0.00066,0.00098,0.00062
YPRWTAU4,0.00568,0.00451,0.00444,0.00233
YPR204W,0.38249,0.20128,0.18550,0.22146
YBL112C,0.04954,0.04048,0.02525,0.03072
YBL108W,0.00068,0.00029,0.00027,0.00028
YBLWDELTA1,0.00212,0.00103,0.00125,0.00045
YBLWDELTA2,0.01469,0.00716,0.01024,0.00642
TC(GCA)P1,0.00504,0.00263,0.00262,0.00227
YPLWDELTA9,0.00026,0.00017,0.00017,0.00009
YPLCDELTA10,0.00054,0.00064,0.00054,0.00020
YPLWDELTA11,0.00201,0.00197,0.00233,0.00055
YPLCTAU1,0.02013,0.01347,0.01368,0.00830
YPLCTY4-1,0.02730,0.01851,0.01744,0.01189
YPLCTAU2,0.01622,0.01045,0.01141,0.00710
YPRWDELTA12,0.10995,0.03592,0.04049,0.05351
YPRCDELTA13,0.00285,0.00152,0.00228,0.00141
TG(GCC)P1,0.01572,0.00710,0.00638,0.01220
TS(UGA)P,0.00835,0.00351,0.00386,0.00616
TT(UGU)P,0.00142,0.00075,0.00099,0.00101
YPRWSIGMA2,0.09470,0.03093,0.03261,0.02725
YPRWDELTA14,0.00965,0.00800,0.00952,0.00277
YPRCDELTA15,0.00090,0.00052,0.00068,0.00047
YPRWDELTA16,0.00088,0.00009,0.00030,0.00067
YPRWDELTA17,0.00313,0.00103,0.00166,0.00112
YPRCDELTA18,0.07938,0.02472,0.03178,0.04250
YORCDELTA21,0.04326,0.01888,0.02601,0.01619
YORWTAU3,0.00367,0.00235,0.00274,0.00133
TA(UGC)O,0.00452,0.00239,0.00255,0.00379
YORWSIGMA3,0.02700,0.01238,0.01294,0.00919
YORWSIGMA4,0.02769,0.01401,0.01914,0.01065
YORWDELTA22,0.00130,0.00147,0.00145,0.00088
YORWDELTA23,0.03243,0.01446,0.01929,0.01469
YORWTY2-2,0.12914,0.03908,0.05040,0.06185
YORWDELTA24,0.03046,0.01340,0.01848,0.01447
YORCDELTA25,0.06838,0.02436,0.03111,0.03561
YPLCDELTA1,0.00295,0.00174,0.00168,0.00141
YPLWSIGMA1,0.00034,0.00002,0.00031,0.00002
YPLWDELTA3,0.11368,0.03507,0.04089,0.04825
YPLWTY1-1,0.19038,0.06066,0.06421,0.09724
YPLWDELTA4,0.10669,0.03593,0.04239,0.04064
YPLWDELTA5,0.02836,0.01195,0.01770,0.00962
YPLWDELTA6,0.01805,0.00979,0.00868,0.00771
TE(UUC)P,0.02937,0.01159,0.00930,0.01957
YPLWDELTA7,0.00110,0.00075,0.00078,0.00032
YPLWDELTA8,0.05108,0.02179,0.02713,0.01936
YOLCDELTA8,0.00062,0.00039,0.00012,0.00020
TR(ACG)O,0.00321,0.00133,0.00195,0.00255
YOLCDELTA9,0.00002,0.00001,0.00002,0.00007
YOLWSIGMA2,0.00008,0.00027,0.00014,0.00021
YOLWDELTA10,0.00360,0.00418,0.00396,0.00132
YORCDELTA11,0.00354,0.00242,0.00267,0.00157
TG(CCC)O,0.00013,0.00012,0.00005,0.00028
YORWDELTA12,0.00163,0.00073,0.00089,0.00050
YORWDELTA13,0.07635,0.03211,0.03502,0.02860
YORWTY1-2,0.05769,0.01738,0.01689,0.02463
YORWDELTA14,0.07154,0.03156,0.03595,0.02699
YORCDELTA15,0.00063,0.00047,0.00044,0.00035
YORWDELTA16,0.00127,0.00123,0.00105,0.00097
YORWDELTA17,0.03571,0.01717,0.02290,0.01429
YORCDELTA18,0.00116,0.00074,0.00075,0.00067
YORWDELTA19,0.00017,0.00009,0.00016,0.00027
YORWTAU2,0.01400,0.00809,0.00755,0.00582
YORCDELTA20,0.04925,0.01859,0.02377,0.01844
YORCTY2-1,0.07812,0.02340,0.02652,0.03056
YNRWSIGMA4,0.04037,0.01280,0.01343,0.01482
YNRCDELTA8,0.03961,0.02025,0.02274,0.01642
YNRCDELTA9,0.00597,0.00497,0.00546,0.00258
YNR075W,0.00121,0.00058,0.00046,0.00086
YNR077C,0.00306,0.00317,0.00232,0.00120
YOLCDELTA1,0.00007,0.00012,0.00009,0.00001
YOLWTAU1,0.00278,0.00237,0.00365,0.00090
YOLCDELTA2,0.00012,0.00021,0.00013,0.00015
TG(UCC)O,0.00209,0.00028,0.00035,0.00305
YOLCDELTA3,0.00403,0.00202,0.00234,0.00155
YOLWDELTA4,0.12542,0.05284,0.06267,0.05898
YOLWTY1-1,0.22267,0.05348,0.05725,0.11921
YOLWDELTA5,0.14024,0.04445,0.05025,0.07088
TG(GCC)O1,0.01847,0.00559,0.00609,0.01268
YOLWSIGMA1,0.00066,0.00038,0.00033,0.00015
YOLWDELTA6,0.00055,0.00021,0.00019,0.00013
YOLCDELTA7,0.00105,0.00107,0.00120,0.00049
TG(GCC)O2,0.01747,0.00629,0.00699,0.01175
YNL339C,0.00029,0.00012,0.00039,0.00046
YNL337W,0.00821,0.00514,0.00478,0.00404
YNL336W,0.18250,0.12830,0.10922,0.09886
TG(UCC)N,0.00198,0.00055,0.00043,0.00301
YNLWTAU1,0.01028,0.00658,0.00737,0.00391
YNLCDELTA1,0.10989,0.03660,0.04521,0.05667
YNLCTY1-1,0.04861,0.01042,0.01209,0.02367
YNLCDELTA2,0.10698,0.03706,0.04652,0.05938
YNLCSIGMA1,0.00093,0.00019,0.00038,0.00009
YNLWDELTA3,0.06870,0.02169,0.02890,0.03376
YNLWTY1-2,0.08839,0.02730,0.03278,0.05741
YNLWDELTA4,0.07358,0.02228,0.02748,0.03611
YNLWSIGMA2,0.01057,0.00524,0.00520,0.00377
YNLWSIGMA3,0.05569,0.02301,0.02405,0.01431
YNLWTAU2,0.03328,0.02130,0.01806,0.01029
YNLCDELTA5,0.07920,0.03055,0.03237,0.02736
YNLCTY2-1,0.23799,0.07026,0.08803,0.11554
YNLCDELTA6,0.05604,0.02187,0.02828,0.01826
TP(AGG)N,0.00134,0.00053,0.00069,0.00109
YNRCDELTA7,0.02421,0.00986,0.01280,0.01128
YNRCTAU3,0.00933,0.00823,0.00679,0.00429
YMRCDELTA9,0.08696,0.03132,0.03779,0.04048
YMRCTY1-4,0.04651,0.01159,0.01211,0.01977
YMRCDELTA10,0.08951,0.03180,0.03938,0.03922
YMRCDELTA11,0.00202,0.00146,0.00139,0.00129
YMRWDELTA12,0.00107,0.00068,0.00050,0.00028
YMRCDELTA13,0.00101,0.00094,0.00145,0.00025
YMRCDELTA14,0.00010,0.00018,0.00044,0.00002
YMRWDELTA15,0.00032,0.00030,0.00012,0.00043
YMRWDELTA16,0.00202,0.00143,0.00162,0.00072
YMRWTAU2,0.01803,0.01123,0.01164,0.00678
YMRWDELTA17,0.01497,0.00597,0.00811,0.00603
YMRCDELTA18,0.00266,0.00227,0.00197,0.00138
TR(UCU)M1,0.00240,0.00121,0.00094,0.00112
TA(AGC)M2,0.00350,0.00221,0.00311,0.00530
YMRWDELTA19,0.03810,0.01768,0.02122,0.01607
TQ(CUG)M,0.00241,0.00062,0.00101,0.00246
YMRCTAU3,0.01383,0.00910,0.00891,0.00507
YMRWDELTA20,0.00069,0.00007,0.00020,0.00035
YMRWDELTA21,0.00242,0.00136,0.00114,0.00106
YMR326C,0.00350,0.00180,0.00213,0.00202
TR(UCU)M2,0.00211,0.00087,0.00102,0.00112
YMLCDELTA1,0.00070,0.00007,0.00022,0.00036
YMLCDELTA2,0.03200,0.01444,0.01759,0.01017
TG(GCC)M,0.01582,0.00794,0.00720,0.01148
YMLWDELTA3,0.12060,0.05288,0.05770,0.05125
YMLWTY1-1,0.04392,0.01186,0.01362,0.02044
YMLWDELTA4,0.11238,0.04579,0.05742,0.04332
YMLWDELTA5,0.13245,0.04161,0.05127,0.06188
YMLWTY1-2,0.20465,0.06179,0.06102,0.11659
YMLWDELTA6,0.08746,0.03206,0.03889,0.03937
TS(AGA)M,0.00685,0.00239,0.00252,0.00484
YMRCTAU1,0.00084,0.00082,0.00086,0.00044
TE(UUC)M,0.02789,0.01174,0.00998,0.01981
TA(AGC)M1,0.00239,0.00197,0.00287,0.00558
YMRCDELTA7,0.09673,0.03170,0.03737,0.05025
YMRCTY1-3,0.01716,0.00435,0.00452,0.00783
YMRCDELTA8,0.10476,0.03335,0.04025,0.05072
TH(GUG)M,0.00439,0.00324,0.00260,0.00449
YLRWTY2-1,0.13810,0.04093,0.04576,0.07203
YLRWDELTA23,0.07855,0.02519,0.03212,0.03735
YLRCDELTA24,0.00249,0.00095,0.00085,0.00054
YLRCDELTA25,0.03345,0.01512,0.01993,0.01459
YLRCTY2-2,0.03927,0.01591,0.02195,0.01841
YLRCDELTA26,0.02527,0.00981,0.01494,0.00982
YLRCDELTA27,0.04287,0.01860,0.02056,0.01772
YLR462W,0.00289,0.00098,0.00092,0.00165
YLR463C,0.00155,0.00087,0.00119,0.00126
YLR464W,0.00066,0.00035,0.00075,0.00155
YLR466W,0.19192,0.11666,0.09428,0.08627
YLR467W,0.00119,0.00053,0.00086,0.00102
YML132W,0.03489,0.03130,0.02835,0.01473
YLRWTY1-3,0.12161,0.03142,0.03541,0.05584
YLRWDELTA14,0.06270,0.02056,0.02740,0.02871
TA(AGC)L,0.00692,0.00364,0.00318,0.00620
YLRWSIGMA3,0.00871,0.00330,0.00302,0.00224
YLRWDELTA15,0.00307,0.00139,0.00154,0.00071
YLRCDELTA16,0.00027,0.00001,0.00001,0.00004
YLRWDELTA17,0.00035,0.00020,0.00008,0.00019
YLRCDELTA18,0.07621,0.02607,0.02704,0.02564
YLRCDELTA19,0.00086,0.00091,0.00048,0.00056
TI(AAU)L1,0.00085,0.00055,0.00052,0.00040
TS(GCU)L,0.00428,0.00112,0.00119,0.00212
YLRWSIGMA4,0.00112,0.00057,0.00042,0.00076
YLRWDELTA20,0.00173,0.00061,0.00067,0.00091
TE(UUC)L,0.02915,0.01181,0.00853,0.01988
YLRCDELTA21,0.03613,0.01705,0.02009,0.01276
TR(CCG)L,0.00283,0.00187,0.00162,0.00363
YLRWDELTA22,0.08018,0.03044,0.03879,0.03583
RDN37-1,0.03549,0.00752,0.00663,0.03771
RDN25-1,0.01069,0.00915,0.00401,0.01524
RDN18-1,0.00149,0.00167,0.00090,0.00208
RDN5-1,0.07442,0.02491,0.02881,0.05917
RDN5-3,0.03954,0.02601,0.02220,0.03271
YLRCDELTA7,0.11495,0.04314,0.04723,0.05329
YLRCTY1-1,0.22935,0.06675,0.06986,0.12572
YLRCDELTA8,0.09212,0.03340,0.04504,0.04875
YLRCDELTA9,0.00970,0.00367,0.00573,0.00229
YLRWDELTA10,0.07056,0.02122,0.02944,0.03459
YLRWTY1-2,0.11614,0.03485,0.03840,0.05933
YLRWDELTA11,0.07709,0.02523,0.03074,0.03953
YLRWDELTA12,0.00322,0.00124,0.00146,0.00537
YLRCTAU1,0.00053,0.00027,0.00009,0.00031
YLRWDELTA13,0.09129,0.03167,0.03932,0.05101
YLL067C,0.03041,0.00605,0.00452,0.01716
YLL066C,0.24305,0.14056,0.12301,0.13752
YLLCDELTA1,0.00432,0.00178,0.00173,0.00159
TS(AGA)L,0.00623,0.00254,0.00187,0.00634
YLRCSIGMA1,0.00013,0.00006,0.00002,0.00012
TA(UGC)L,0.00486,0.00275,0.00243,0.00403
YLRCDELTA2,0.08793,0.03259,0.03788,0.04159
YLRCDELTA3,0.06220,0.02095,0.02803,0.02828
YLRWDELTA4,0.00009,0.00001,0.00019,0.00000
YLRCDELTA5,0.00328,0.00096,0.00156,0.00122
YLRWSIGMA2,0.03550,0.01704,0.01846,0.01546
TR(ACG)L,0.00318,0.00112,0.00138,0.00243
TQ(UUG)L,0.00436,0.00150,0.00221,0.00407
YLRWDELTA6,0.00504,0.00446,0.00402,0.00196
YKLCDELTA2,0.00141,0.00188,0.00163,0.00093
TE(UUC)K,0.02513,0.01127,0.00872,0.02114
TR(UCU)K,0.00203,0.00076,0.00069,0.00112
YKLWDELTA3,0.00126,0.00063,0.00051,0.00037
YKLCSIGMA1,0.05916,0.02594,0.02602,0.01872
YKLCDELTA4,0.00171,0.00068,0.00051,0.00066
TA(AGC)K1,0.00210,0.00253,0.00272,0.00617
YKLCDELTA5,0.00958,0.00677,0.00797,0.00352
TH(GUG)K,0.00477,0.00268,0.00312,0.00374
YKLCDELTA6,0.00510,0.00329,0.00346,0.00150
YKLWDELTA7,0.01253,0.00667,0.00885,0.00463
YKRCDELTA8,0.09215,0.03132,0.03748,0.05116
YKRCDELTA9,0.00044,0.00031,0.00018,0.00003
YKRWDELTA10,0.00074,0.00039,0.00089,0.00020
TR(ACG)K,0.00294,0.00129,0.00142,0.00220
YKRCDELTA11,0.01413,0.01111,0.01340,0.00477
YKRCDELTA12,0.10700,0.03856,0.04157,0.04944
TA(AGC)K2,0.00446,0.00288,0.00333,0.00586
YKR106W,0.00250,0.00096,0.00110,0.00066
YKRWOMEGA1,0.00031,0.00044,0.00027,0.00015
YJRWTY1-2,0.05723,0.01485,0.01504,0.02536
YJRWDELTA13,0.10850,0.04170,0.04508,0.05005
TM(CAU)J3,0.00461,0.00200,0.00127,0.00152
YJRWDELTA14,0.00008,0.00000,0.00018,0.00005
TS(AGA)J,0.00756,0.00300,0.00221,0.00407
YJLWDELTA15,0.00181,0.00128,0.00163,0.00081
TG(GCC)J2,0.01617,0.00731,0.00767,0.01113
YJLWDELTA16,0.00072,0.00067,0.00102,0.00026
YJRWDELTA17,0.08145,0.03412,0.03991,0.03109
TR(CCU)J,0.00017,0.00017,0.00020,0.00007
YJRWDELTA18,0.01007,0.00485,0.00514,0.00419
YJLWDELTA19,0.01376,0.00948,0.00729,0.00646
YJRWDELTA20,0.00295,0.00118,0.00140,0.00180
YJR161C,0.04379,0.01609,0.01583,0.02548
YJR162C,0.00375,0.00282,0.00281,0.00127
YKL225W,0.00052,0.00022,0.00017,0.00042
YKL223W,0.00033,0.00005,0.00019,0.00007
TT(CGU)K,0.00051,0.00031,0.00007,0.00031
YKLWDELTA1,0.00060,0.00001,0.00003,0.00012
TN(GUU)K,0.00450,0.00454,0.00362,0.00137
YJLCDELTA4,0.02751,0.01202,0.01454,0.01153
YJLCDELTA5,0.04602,0.01610,0.02020,0.01837
TR(UCU)J1,0.00232,0.00083,0.00078,0.00106
TR(UCU)J2,0.00164,0.00080,0.00102,0.00089
YJLCDELTA6,0.00042,0.00010,0.00027,0.00133
YJLCDELTA7,0.00171,0.00082,0.00157,0.00044
TV(AAC)J,0.04876,0.03938,0.04026,0.02684
TM(CAU)J1,0.00102,0.00030,0.00034,0.00046
TG(GCC)J1,0.01720,0.00670,0.00611,0.01311
TK(CUU)J,0.00158,0.00075,0.00120,0.00076
YJRWTAU3,0.00021,0.00036,0.00054,0.00018
YJLWDELTA8,0.00087,0.00074,0.00077,0.00011
YJLWDELTA9,0.00055,0.00077,0.00060,0.00030
YJLWTAU4,0.00837,0.00455,0.00381,0.00322
YJLWDELTA10,0.00198,0.00101,0.00115,0.00077
TL(UAA)J,0.00132,0.00057,0.00162,0.00130
YJRWDELTA11,0.10857,0.03784,0.04288,0.04377
YJRWTY1-1,0.10242,0.03241,0.03613,0.05020
YJRWDELTA12,0.07205,0.02216,0.03015,0.02609
TE(UUC)J,0.03186,0.01180,0.00932,0.02266
TA(AGC)J,0.00309,0.00210,0.00299,0.00586
YJLWSIGMA1,0.00061,0.00059,0.00055,0.00005
YJLWTAU1,0.01978,0.01063,0.01151,0.00807
YJLWTY4-1,0.00745,0.00486,0.00432,0.00301
YJLWTAU2,0.02005,0.01269,0.01225,0.00818
YJLCDELTA3,0.02477,0.00931,0.01150,0.01054
YJLWDELTA2,0.00357,0.00263,0.00296,0.00141
TD(GUC)J1,0.01785,0.00911,0.01035,0.01214
TR(ACG)J,0.00234,0.00104,0.00202,0.00305
YAL068C,0.05277,0.01220,0.01066,0.01175
YALWDELTA1,0.00031,0.00008,0.00016,0.00029
YALCDELTA2,0.00936,0.00580,0.00465,0.00354
YARCDELTA3,0.00038,0.00010,0.00001,0.00001
YARCDELTA4,0.10756,0.03804,0.04476,0.05484
YARCTY1-1,0.13240,0.05073,0.05333,0.07505
YARCDELTA5,0.11286,0.03457,0.04255,0.06319
TA(UGC)A,0.00687,0.00280,0.00173,0.00378
TS(AGA)A,0.00720,0.00260,0.00233,0.00457
YARWDELTA6,0.03374,0.01381,0.01445,0.01412
YARWDELTA7,0.01308,0.00434,0.00655,0.00568
YARCDELTA8,0.00064,0.00044,0.00029,0.00031
TT(AGU)J,0.00111,0.00027,0.00011,0.00042
YJLWDELTA1,0.00251,0.00161,0.00145,0.00125
MAL23,0.00075,0.00068,0.00038,0.00021
MEL1,0.00032,0.00040,0.00013,0.00007
RTM1,0.00009,0.00002,0.00001,0.00000
STRP,0.00100,0.00047,0.00068,0.00012
SUC4,0.06294,0.00891,0.00673,0.00813
YBL069W,0.00449,0.00163,0.00123,0.00133
YBR006W,0.01788,0.00503,0.00485,0.00761
YBR201W,0.01546,0.00508,0.00432,0.00515
YCL024W,0.00587,0.00186,0.00213,0.00245
YFL031W,0.05121,0.01562,0.01081,0.02803
YGR029W,0.08307,0.02503,0.02616,0.03768
YNL044W,0.10905,0.03206,0.03716,0.04909
YNL180C,0.04010,0.01211,0.00943,0.01418
2mic_FLP1,0.01479,0.00782,0.01060,0.00443
2mic_REP1,0.10865,0.03048,0.03301,0.04015
2mic_D_protein,0.59293,0.24327,0.21538,0.23253
2mic_REP2,0.12408,0.03611,0.03827,0.04541
KANMX4,0.00022,0.00010,0.00006,0.00006
Q0085,0.00041,0.00036,0.00043,0.00012
Q0115,0.00009,0.00064,0.00049,0.00008
Q0120,0.00024,0.00013,0.00002,0.00012
Q0130,0.00022,0.00005,0.00012,0.00022
SNR68,0.01057,0.00868,0.00863,0.00274
YIR043C,0.00591,0.00463,0.00484,0.00237
YIR044C,0.01750,0.00460,0.00469,0.01164
YIR020W-B,0.00022,0.00018,0.00039,0.00028
YIL156w-a,0.00199,0.00103,0.00147,0.00100
YIL100c-a,0.00072,0.00081,0.00039,0.00072
YIL071w-a,0.00216,0.00189,0.00169,0.00151
YIL068w-a,0.00332,0.00320,0.00371,0.00138
YIL066w-a,0.00034,0.00032,0.00031,0.00026
YIR017w-a,0.00465,0.00257,0.00191,0.00192
YIR020c-a,0.00012,0.00031,0.00024,0.00015
YIR023c-a,0.00324,0.00184,0.00203,0.00131
YIL162W,0.14339,0.01547,0.01360,0.02184
YIL106W,0.01347,0.00526,0.00453,0.00266
YIL066C,0.00716,0.00170,0.00199,0.00170
YIR020C,0.00380,0.00118,0.00048,0.00150
YIR021W,0.02371,0.01073,0.01062,0.00829
YIR022W,0.07588,0.02656,0.02759,0.02431
YIR023W,0.01331,0.00476,0.00467,0.00447
YIR024C,0.02174,0.00632,0.00606,0.00561
YIR025W,0.01067,0.00512,0.00394,0.00380
YIR026C,0.03018,0.00646,0.00696,0.01030
YIR027C,0.00396,0.00166,0.00152,0.00096
YIR028W,0.00550,0.00291,0.00294,0.00221
YIR029W,0.01072,0.00976,0.00650,0.00353
YIR030C,0.00476,0.00227,0.00230,0.00205
YIR031C,0.00432,0.00248,0.00225,0.00192
YIR032C,0.08861,0.06658,0.04731,0.04323
YIR033W,0.01230,0.00420,0.00523,0.00335
YIR034C,0.11667,0.07247,0.05167,0.06102
YIR035C,0.04509,0.01766,0.01696,0.01659
YIR036C,0.08335,0.02467,0.01637,0.03085
