,Glucose,Ethanol,Acetate,Maltose
YMR080C,0.00997,0.00304,0.00252,0.00322
YMR081C,0.13027,0.02105,0.01308,0.07339
YMR082C,0.00040,0.00023,0.00033,0.00046
YMR083W,0.17923,0.10202,0.10786,0.07265
YMR084W,0.00129,0.00023,0.00035,0.00047
YMR085W,0.00532,0.00308,0.00251,0.00150
YMR086W,0.01268,0.00629,0.00439,0.00487
YMR086C-A,0.00297,0.00211,0.00199,0.00111
YMR087W,0.01362,0.00533,0.00398,0.00532
YMR042W,0.01079,0.00443,0.00309,0.00378
YMR043W,0.03675,0.00887,0.00817,0.01207
YMR044W,0.01724,0.00593,0.00549,0.00787
YMR047C,0.03839,0.01714,0.01518,0.01476
YMR048W,0.00420,0.00204,0.00164,0.00157
YMR049C,0.05734,0.01965,0.01863,0.02043
YMR052W,0.00272,0.00116,0.00087,0.00071
YMR052C-A,0.01448,0.00971,0.00837,0.00790
YMR053C,0.00595,0.00208,0.00263,0.00255
YMR054W,0.03511,0.01069,0.01055,0.01377
YMR055C,0.01049,0.00448,0.00342,0.00418
YMR056C,0.14244,0.06982,0.08816,0.08174
YMR057C,0.00523,0.00453,0.00043,0.00212
YMR058W,0.03455,0.00746,0.02439,0.04061
YMR059W,0.01439,0.00686,0.00709,0.00534
YMR060C,0.02867,0.01257,0.01403,0.01157
YMR061W,0.00657,0.00251,0.00270,0.00182
YMR062C,0.08421,0.03285,0.01549,0.04552
YMR063W,0.00048,0.00028,0.00015,0.00065
YMR064W,0.01169,0.00468,0.00443,0.00353
YMR065W,0.00979,0.00455,0.00436,0.00415
YMR066W,0.00180,0.00104,0.00068,0.00057
YMR067C,0.02122,0.00994,0.00744,0.00897
YMR021C,0.01788,0.00720,0.00684,0.00698
YMR022W,0.07832,0.02280,0.02056,0.03775
YMR023C,0.01038,0.00409,0.00429,0.00476
YMR024W,0.03544,0.01202,0.01173,0.01483
YMR025W,0.00904,0.00285,0.00374,0.00356
YMR026C,0.02912,0.01172,0.01017,0.01083
YMR027W,0.06896,0.02083,0.01978,0.02669
YMR028W,0.01067,0.00297,0.00283,0.00362
YMR029C,0.02393,0.00887,0.00884,0.00951
YMR030W,0.00706,0.00442,0.00386,0.00221
YMR031C,0.05494,0.01910,0.01384,0.02554
YMR031W-A,0.00095,0.00030,0.00007,0.00025
YMR032W,0.01718,0.00705,0.00488,0.00491
YMR033W,0.05236,0.01355,0.01395,0.01602
YMR034C,0.01143,0.00716,0.00599,0.00793
