,MA_020,MA_023,MA_027,MA_030,MA_032,MA_034
YIL018W,0.00006,0.00005,0.00006,0.00009,0.00009,0.00007
YIL019W,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001
YIL020C-A,0.00930,0.00397,0.01120,0.00805,0.00818,0.00839
YIL020C,0.00036,0.00017,0.00029,0.00027,0.00034,0.00037
YIL021C-A,0.01582,0.00700,0.01497,0.01173,0.01183,0.01167
YIL021W,0.00001,0.00001,0.00002,0.00002,0.00002,0.00001
YIL022W,0.00006,0.00005,0.00007,0.00004,0.00008,0.00005
YIL023C,0.00016,0.00015,0.00011,0.00015,0.00012,0.00012
YIL024C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YIL025C,0.00004,0.00004,0.00005,0.00007,0.00006,0.00009
YIL026C,0.00094,0.00102,0.00096,0.00154,0.00130,0.00134
YIL027C,0.00000,0.00002,0.00001,0.00001,0.00001,0.00000
YIL028W,0.00007,0.00006,0.00006,0.00005,0.00005,0.00005
YIL029C,0.00001,0.00001,0.00000,0.00001,0.00000,0.00001
YIL029W-A,0.00429,0.00521,0.00404,0.00424,0.00454,0.00437
YIL030C,0.00002,0.00003,0.00004,0.00002,0.00002,0.00002
YIL030W-A,0.00004,0.00002,0.00007,0.00009,0.00012,0.00012
YIL031W,0.00008,0.00007,0.00009,0.00013,0.00013,0.00010
YIL032C,0.00011,0.00010,0.00011,0.00014,0.00017,0.00021
YIL033C,0.00064,0.00065,0.00075,0.00095,0.00111,0.00121
YIL034C,0.00236,0.00241,0.00302,0.00423,0.00492,0.00455
YIL035C,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001
YIL036W,0.00007,0.00004,0.00009,0.00010,0.00010,0.00014
YIL037C,0.00191,0.00195,0.00198,0.00231,0.00251,0.00258
YIL038C,0.00003,0.00000,0.00004,0.00001,0.00002,0.00001
YIL039W,0.00001,0.00001,0.00000,0.00001,0.00000,0.00001
YIL040W,0.00042,0.00015,0.00041,0.00034,0.00033,0.00027
YIL041W,0.00006,0.00003,0.00006,0.00007,0.00006,0.00007
YIL042C,0.00002,0.00000,0.00001,0.00000,0.00001,0.00000
YIL043C,0.00003,0.00003,0.00002,0.00004,0.00007,0.00004
YIL044C,0.00012,0.00002,0.00005,0.00006,0.00007,0.00005
YIL045W,0.00021,0.00013,0.00035,0.00028,0.00035,0.00039
YIL046W-A,0.00000,0.00001,0.00000,0.00001,0.00000,0.00000
YIL046W,0.00018,0.00010,0.00010,0.00010,0.00012,0.00011
YIL047C-A,0.00002,0.00001,0.00001,0.00002,0.00003,0.00003
