,MA_020,MA_023,MA_027,MA_030,MA_032,MA_034
YDR113C,0.00070,0.00019,0.00068,0.00025,0.00027,0.00019
YDR114C,0.00648,0.00579,0.00878,0.01309,0.01441,0.01193
YDR115W,0.00005,0.00004,0.00009,0.00007,0.00007,0.00008
YDR116C,0.00006,0.00004,0.00009,0.00014,0.00018,0.00010
YDR117C,0.00010,0.00010,0.00014,0.00016,0.00017,0.00019
YDR118W-A,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YDR118W,0.00018,0.00016,0.00039,0.00036,0.00030,0.00039
YDR119W-A,0.00001,0.00001,0.00001,0.00003,0.00001,0.00002
YDR119W,0.00021,0.00013,0.00028,0.00021,0.00022,0.00018
YDR120C,0.00007,0.00002,0.00006,0.00004,0.00003,0.00003
YDR121W,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001
YDR122W,0.00044,0.00021,0.00064,0.00058,0.00061,0.00064
YDR123C,0.00004,0.00001,0.00005,0.00004,0.00005,0.00005
YDR124W,0.00565,0.00477,0.00601,0.00587,0.00588,0.00525
YDR125C,0.00024,0.00014,0.00024,0.00041,0.00049,0.00043
YDR126W,0.00093,0.00055,0.00080,0.00102,0.00135,0.00134
YDR127W,0.00018,0.00014,0.00018,0.00017,0.00020,0.00016
YDR128W,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001
YDR129C,0.00003,0.00001,0.00004,0.00003,0.00004,0.00004
YDR130C,0.00023,0.00029,0.00030,0.00051,0.00050,0.00036
YDR131C,0.00007,0.00005,0.00007,0.00005,0.00007,0.00004
YDR132C,0.00057,0.00046,0.00058,0.00075,0.00074,0.00076
YDR133C,0.00048,0.00036,0.00034,0.00045,0.00042,0.00035
YDR135C,0.00447,0.00438,0.00367,0.00271,0.00265,0.00269
YDR136C,0.00156,0.00047,0.00121,0.00076,0.00060,0.00081
YDR137W,0.00002,0.00000,0.00001,0.00001,0.00001,0.00001
YDR138W,0.00008,0.00012,0.00007,0.00008,0.00009,0.00008
YDR139C,0.00059,0.00070,0.00063,0.00089,0.00073,0.00071
YDR140W,0.00066,0.00045,0.00109,0.00094,0.00098,0.00110
YDR141C,0.00095,0.00048,0.00148,0.00117,0.00134,0.00115
YDR142C,0.00009,0.00011,0.00008,0.00011,0.00012,0.00008
YDR143C,0.00069,0.00057,0.00033,0.00048,0.00041,0.00042
YDR144C,0.00140,0.00098,0.00098,0.00138,0.00125,0.00121
YDR145W,0.00014,0.00003,0.00014,0.00006,0.00003,0.00004
YDR146C,0.00003,0.00001,0.00002,0.00003,0.00003,0.00004
YDR147W,0.00000,0.00000,0.00002,0.00001,0.00002,0.00002
YDR148C,0.00009,0.00006,0.00015,0.00012,0.00010,0.00006
YDR149C,0.00181,0.00082,0.00206,0.00117,0.00122,0.00135
YDR151C,0.00039,0.00014,0.00025,0.00045,0.00062,0.00047
YDR152W,0.00005,0.00000,0.00009,0.00003,0.00003,0.00003
YDR153C,0.00003,0.00001,0.00001,0.00002,0.00000,0.00001
YDR154C,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001
YDR155C,0.00004,0.00003,0.00003,0.00005,0.00005,0.00003
YDR156W,0.00001,0.00000,0.00001,0.00001,0.00002,0.00001
YDR157W,0.00000,0.00001,0.00002,0.00002,0.00002,0.00001
YDR158W,0.00005,0.00003,0.00005,0.00006,0.00007,0.00004
YDR159W,0.00004,0.00003,0.00006,0.00004,0.00002,0.00003
YDR160W,0.00168,0.00133,0.00207,0.00242,0.00251,0.00252
YDR161W,0.00046,0.00011,0.00083,0.00051,0.00057,0.00058
YDR162C,0.00003,0.00001,0.00007,0.00004,0.00006,0.00006
YDR163W,0.00077,0.00038,0.00173,0.00110,0.00123,0.00134
YDR164C,0.00025,0.00006,0.00028,0.00016,0.00011,0.00019
YDR165W,0.00110,0.00062,0.00116,0.00089,0.00086,0.00099
YDR166C,0.00028,0.00021,0.00037,0.00028,0.00026,0.00029
YDR167W,0.00002,0.00002,0.00003,0.00002,0.00004,0.00002
YDR168W,0.00002,0.00000,0.00000,0.00001,0.00000,0.00001
YDR169C-A,0.00014,0.00015,0.00014,0.00017,0.00021,0.00015
YDR169C,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001
YDR170C,0.00003,0.00001,0.00003,0.00002,0.00003,0.00002
YDR171W,0.00027,0.00013,0.00011,0.00013,0.00011,0.00010
YDR172W,0.00004,0.00002,0.00005,0.00003,0.00005,0.00002
YDR173C,0.00014,0.00008,0.00026,0.00017,0.00021,0.00021
YDR174W,0.00004,0.00003,0.00003,0.00006,0.00007,0.00005
YDR175C,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001
YDR176W,0.00015,0.00015,0.00019,0.00025,0.00019,0.00017
YDR177W,0.00003,0.00001,0.00002,0.00004,0.00003,0.00003
YDR178W,0.00008,0.00005,0.00007,0.00006,0.00005,0.00005
YDR179C,0.00026,0.00015,0.00044,0.00053,0.00052,0.00049
YDR179W-A,0.00079,0.00058,0.00092,0.00113,0.00105,0.00106
YDR180W,0.00074,0.00017,0.00114,0.00077,0.00071,0.00085
YDR181C,0.00002,0.00002,0.00002,0.00003,0.00001,0.00002
YDR182W-A,0.00023,0.00016,0.00031,0.00031,0.00026,0.00022
YDR182W,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002
YDR183C-A,0.00074,0.00023,0.00093,0.00054,0.00056,0.00058
YDR183W,0.00008,0.00008,0.00005,0.00010,0.00011,0.00010
YDR184C,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001
YDR185C,0.00130,0.00124,0.00193,0.00225,0.00222,0.00210
YDR186C,0.00010,0.00010,0.00011,0.00010,0.00010,0.00005
YDR187C,0.02826,0.01672,0.02228,0.01907,0.02115,0.02066
YDR188W,0.00005,0.00001,0.00003,0.00003,0.00002,0.00002
YDR189W,0.00032,0.00013,0.00048,0.00032,0.00039,0.00038
YDR190C,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001
YDR191W,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001
YDR192C,0.00003,0.00003,0.00002,0.00002,0.00003,0.00005
YDR193W,0.00341,0.00273,0.00323,0.00337,0.00339,0.00338
YDR194C,0.00005,0.00002,0.00006,0.00007,0.00006,0.00004
YDR194W-A,0.00002,0.00000,0.00001,0.00001,0.00000,0.00000
YDR195W,0.00119,0.00032,0.00138,0.00098,0.00088,0.00102
YDR196C,0.00028,0.00004,0.00051,0.00035,0.00031,0.00027
YDR197W,0.00018,0.00009,0.00046,0.00027,0.00035,0.00029
YDR198C,0.00014,0.00006,0.00022,0.00020,0.00017,0.00017
YDR199W,0.00374,0.00074,0.00365,0.00196,0.00169,0.00205
YDR200C,0.00004,0.00003,0.00003,0.00002,0.00002,0.00001
YDR201W,0.00019,0.00006,0.00020,0.00015,0.00017,0.00016
YDR202C,0.00128,0.00041,0.00169,0.00133,0.00146,0.00156
YDR203W,0.00462,0.00197,0.00360,0.00243,0.00227,0.00217
YDR204W,0.00008,0.00009,0.00008,0.00016,0.00013,0.00020
YDR205W,0.00010,0.00005,0.00027,0.00068,0.00049,0.00050
YDR206W,0.00002,0.00001,0.00005,0.00004,0.00004,0.00005
YDR207C,0.00002,0.00002,0.00003,0.00004,0.00001,0.00003
YDR208W,0.00003,0.00000,0.00001,0.00002,0.00002,0.00002
YDR209C,0.01181,0.00579,0.01383,0.01720,0.01775,0.02167
YDR210W,0.00001,0.00000,0.00001,0.00000,0.00000,0.00001
YDR211W,0.00003,0.00002,0.00003,0.00003,0.00003,0.00003
YDR212W,0.00009,0.00008,0.00005,0.00005,0.00004,0.00005
YDR213W,0.00015,0.00014,0.00016,0.00025,0.00023,0.00019
YDR214W,0.00079,0.00067,0.00088,0.00111,0.00105,0.00097
YDR215C,0.00036,0.00029,0.00038,0.00047,0.00069,0.00079
YDR216W,0.00002,0.00001,0.00003,0.00001,0.00001,0.00002
YDR217C,0.00018,0.00015,0.00035,0.00026,0.00028,0.00024
YDR218C,0.00087,0.00121,0.00118,0.00083,0.00070,0.00056
YDR219C,0.00001,0.00001,0.00001,0.00001,0.00003,0.00001
YDR220C,0.00001,0.00000,0.00001,0.00000,0.00000,0.00001
YDR221W,0.00129,0.00163,0.00160,0.00163,0.00156,0.00127
YDR222W,0.00726,0.00498,0.00558,0.00493,0.00417,0.00447
YDR223W,0.00232,0.00301,0.00322,0.00302,0.00287,0.00300
YDR224C,0.00011,0.00008,0.00009,0.00013,0.00012,0.00010
YDR225W,0.00005,0.00003,0.00007,0.00007,0.00007,0.00005
YDR226W,0.00015,0.00011,0.00010,0.00011,0.00011,0.00011
YDR227W,0.00003,0.00002,0.00007,0.00004,0.00005,0.00004
YDR228C,0.00010,0.00010,0.00011,0.00011,0.00009,0.00006
YDR229W,0.00017,0.00006,0.00032,0.00023,0.00028,0.00021
YDR230W,0.01946,0.00963,0.01762,0.01322,0.01474,0.01284
YDR231C,0.00019,0.00011,0.00018,0.00018,0.00018,0.00018
YDR233C,0.00008,0.00004,0.00004,0.00008,0.00010,0.00010
YDR234W,0.00007,0.00003,0.00006,0.00006,0.00004,0.00005
YDR235W,0.00058,0.00035,0.00138,0.00133,0.00159,0.00143
YDR236C,0.00006,0.00003,0.00007,0.00005,0.00008,0.00009
YDR237W,0.00007,0.00007,0.00007,0.00008,0.00006,0.00006
YDR238C,0.00003,0.00001,0.00002,0.00001,0.00004,0.00001
YDR239C,0.00001,0.00002,0.00003,0.00001,0.00002,0.00000
YDR240C,0.00035,0.00036,0.00043,0.00048,0.00049,0.00040
YDR241W,0.00005,0.00003,0.00002,0.00004,0.00006,0.00004
YDR242W,0.00386,0.00306,0.00391,0.00376,0.00376,0.00403
YDR243C,0.00126,0.00089,0.00148,0.00105,0.00097,0.00099
YDR244W,0.00002,0.00001,0.00003,0.00002,0.00002,0.00000
YDR245W,0.00001,0.00001,0.00003,0.00002,0.00001,0.00001
YDR246W-A,0.00028,0.00022,0.00020,0.00029,0.00030,0.00026
YDR246W,0.00069,0.00062,0.00059,0.00076,0.00078,0.00080
YDR247W,0.00002,0.00001,0.00001,0.00000,0.00002,0.00001
YDR248C,0.00052,0.00039,0.00022,0.00039,0.00044,0.00037
YDR249C,0.00001,0.00000,0.00001,0.00002,0.00001,0.00002
YDR250C,0.00054,0.00054,0.00057,0.00052,0.00062,0.00067
YDR251W,0.00009,0.00010,0.00012,0.00020,0.00024,0.00017
YDR252W,0.00009,0.00006,0.00011,0.00009,0.00007,0.00009
YDR253C,0.00481,0.00427,0.00501,0.00562,0.00575,0.00539
YDR254W,0.00651,0.00404,0.00476,0.00349,0.00321,0.00320
YDR255C,0.00300,0.00145,0.00371,0.00313,0.00300,0.00333
YDR256C,0.00236,0.00246,0.00377,0.00618,0.00747,0.00757
YDR257C,0.00001,0.00002,0.00002,0.00003,0.00003,0.00004
YDR258C,0.00004,0.00002,0.00003,0.00004,0.00002,0.00001
YDR259C,0.00005,0.00003,0.00006,0.00007,0.00004,0.00007
YDR260C,0.00143,0.00172,0.00151,0.00151,0.00133,0.00124
YDR261C,0.00067,0.00079,0.00074,0.00069,0.00059,0.00054
YDR262W,0.00003,0.00001,0.00003,0.00002,0.00002,0.00003
YDR263C,0.00044,0.00032,0.00029,0.00027,0.00028,0.00029
YDR264C,0.00003,0.00002,0.00002,0.00004,0.00001,0.00003
YDR265W,0.00063,0.00034,0.00064,0.00048,0.00065,0.00063
YDR266C,0.00012,0.00002,0.00004,0.00003,0.00003,0.00004
YDR267C,0.00002,0.00001,0.00001,0.00001,0.00003,0.00002
YDR268W,0.00021,0.00048,0.00058,0.00045,0.00041,0.00058
YDR269C,0.00232,0.00414,0.00538,0.00383,0.00252,0.00392
YDR270W,0.00093,0.00009,0.00010,0.00069,0.00103,0.00017
YDR271C,0.00377,0.00591,0.01137,0.00750,0.00499,0.00811
YDR272W,0.00007,0.00011,0.00009,0.00011,0.00008,0.00010
YDR273W,0.00006,0.00007,0.00002,0.00004,0.00004,0.00003
YDR274C,0.00307,0.00106,0.00225,0.00151,0.00162,0.00151
YDR275W,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001
YDR276C,0.00009,0.00005,0.00006,0.00007,0.00007,0.00005
YDR277C,0.00038,0.00035,0.00059,0.00156,0.00142,0.00124
YDR278C,0.00000,0.00000,0.00001,0.00001,0.00002,0.00002
YDR279W,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001
YDR280W,0.00002,0.00002,0.00003,0.00006,0.00006,0.00005
YDR281C,0.00006,0.00005,0.00005,0.00005,0.00009,0.00011
YDR282C,0.00001,0.00000,0.00001,0.00002,0.00001,0.00000
YDR283C,0.00004,0.00003,0.00004,0.00006,0.00005,0.00006
YDR284C,0.00017,0.00012,0.00017,0.00014,0.00014,0.00013
YDR285W,0.00008,0.00013,0.00012,0.00020,0.00021,0.00015
YDR286C,0.00005,0.00002,0.00008,0.00002,0.00003,0.00003
YDR287W,0.00003,0.00006,0.00008,0.00007,0.00008,0.00008
YDR288W,0.00014,0.00003,0.00020,0.00015,0.00017,0.00015
YDR289C,0.00005,0.00001,0.00009,0.00006,0.00005,0.00007
YDR290W,0.00186,0.00038,0.00132,0.00074,0.00056,0.00081
YDR291W,0.00020,0.00011,0.00021,0.00021,0.00021,0.00023
YDR292C,0.00040,0.00020,0.00061,0.00043,0.00045,0.00050
YDR293C,0.00009,0.00004,0.00010,0.00012,0.00007,0.00009
YDR294C,0.00008,0.00006,0.00006,0.00006,0.00007,0.00006
YDR295C,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000
YDR296W,0.00009,0.00005,0.00010,0.00008,0.00007,0.00007
YDR297W,0.00001,0.00000,0.00002,0.00001,0.00001,0.00001
YDR298C,0.00003,0.00003,0.00005,0.00007,0.00009,0.00004
YDR299W,0.00007,0.00005,0.00003,0.00005,0.00005,0.00009
YDR300C,0.00002,0.00001,0.00001,0.00002,0.00001,0.00002
YDR301W,0.00007,0.00010,0.00011,0.00008,0.00007,0.00008
YDR302W,0.00004,0.00002,0.00004,0.00002,0.00002,0.00004
YDR303C,0.00002,0.00002,0.00001,0.00003,0.00002,0.00002
YDR304C,0.00014,0.00014,0.00018,0.00026,0.00026,0.00028
YDR305C,0.00001,0.00001,0.00003,0.00002,0.00002,0.00002
YDR307W,0.00091,0.00031,0.00094,0.00075,0.00072,0.00080
YDR308C,0.00002,0.00003,0.00004,0.00005,0.00004,0.00005
YDR309C,0.00014,0.00005,0.00009,0.00012,0.00011,0.00008
YDR310C,0.00009,0.00005,0.00007,0.00008,0.00011,0.00008
YDR311W,0.00002,0.00002,0.00001,0.00002,0.00001,0.00001
YDR312W,0.00003,0.00002,0.00003,0.00003,0.00004,0.00002
YDR313C,0.00002,0.00000,0.00001,0.00002,0.00001,0.00001
YDR314C,0.00005,0.00005,0.00007,0.00009,0.00006,0.00002
YDR315C,0.00004,0.00005,0.00002,0.00005,0.00002,0.00004
YDR316W,0.00009,0.00010,0.00009,0.00011,0.00013,0.00009
YDR317W,0.00322,0.00365,0.00394,0.00466,0.00447,0.00431
YDR318W,0.00374,0.00391,0.00472,0.00443,0.00427,0.00460
YDR319C,0.00096,0.00032,0.00123,0.00079,0.00072,0.00083
YDR320C-A,0.00029,0.00034,0.00031,0.00036,0.00047,0.00041
YDR320C,0.00004,0.00004,0.00004,0.00004,0.00006,0.00008
YDR320W-B,0.00090,0.00055,0.00105,0.00088,0.00082,0.00079
YDR321W,0.00001,0.00000,0.00002,0.00001,0.00002,0.00002
YDR322C-A,0.00008,0.00005,0.00013,0.00015,0.00016,0.00016
YDR322W,0.00005,0.00004,0.00010,0.00007,0.00009,0.00008
YDR323C,0.00019,0.00028,0.00032,0.00048,0.00045,0.00052
YDR324C,0.00025,0.00027,0.00015,0.00021,0.00020,0.00013
YDR325W,0.00018,0.00024,0.00025,0.00049,0.00038,0.00035
YDR326C,0.00009,0.00005,0.00010,0.00008,0.00010,0.00010
YDR327W,0.02077,0.01043,0.02077,0.01387,0.01559,0.01317
YDR328C,0.00005,0.00001,0.00001,0.00003,0.00002,0.00004
YDR329C,0.00004,0.00002,0.00002,0.00003,0.00005,0.00003
YDR330W,0.00002,0.00000,0.00000,0.00001,0.00001,0.00001
YDR331W,0.00010,0.00013,0.00013,0.00023,0.00019,0.00015
YDR332W,0.00127,0.00053,0.00204,0.00158,0.00178,0.00186
YDR333C,0.00002,0.00001,0.00004,0.00003,0.00003,0.00002
YDR335W,0.00005,0.00006,0.00009,0.00007,0.00006,0.00007
YDR336W,0.00007,0.00007,0.00006,0.00007,0.00009,0.00006
YDR337W,0.00004,0.00003,0.00005,0.00007,0.00009,0.00009
YDR338C,0.00004,0.00002,0.00003,0.00005,0.00006,0.00006
YDR339C,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000
YDR340W,0.00008,0.00004,0.00006,0.00005,0.00005,0.00006
YDR341C,0.00003,0.00001,0.00004,0.00005,0.00003,0.00003
YDR342C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YDR343C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YDR344C,0.00056,0.00062,0.00058,0.00044,0.00049,0.00038
YDR345C,0.00265,0.00128,0.00223,0.00153,0.00142,0.00177
YDR346C,0.00003,0.00002,0.00006,0.00003,0.00003,0.00002
YDR347W,0.00044,0.00027,0.00068,0.00060,0.00071,0.00060
YDR348C,0.00002,0.00002,0.00002,0.00001,0.00002,0.00003
YDR349C,0.00022,0.00016,0.00040,0.00055,0.00051,0.00049
YDR350C,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000
YDR351W,0.00001,0.00001,0.00003,0.00002,0.00003,0.00004
YDR352W,0.00031,0.00019,0.00028,0.00034,0.00032,0.00027
YDR353W,0.00090,0.00071,0.00068,0.00076,0.00083,0.00082
YDR354C-A,0.01461,0.01378,0.01163,0.01109,0.01211,0.01331
YDR354W,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001
YDR355C,0.00182,0.00025,0.00141,0.00071,0.00053,0.00064
YDR356W,0.00001,0.00000,0.00001,0.00001,0.00002,0.00001
YDR357C,0.00061,0.00017,0.00074,0.00051,0.00066,0.00061
YDR358W,0.00025,0.00015,0.00021,0.00016,0.00019,0.00017
YDR359C,0.00016,0.00008,0.00015,0.00033,0.00033,0.00043
YDR360W,0.00498,0.00164,0.00332,0.00200,0.00204,0.00210
YDR361C,0.00006,0.00010,0.00007,0.00009,0.00013,0.00010
YDR362C,0.00156,0.00148,0.00140,0.00145,0.00129,0.00116
YDR363W-A,0.00024,0.00019,0.00033,0.00033,0.00031,0.00037
YDR363W,0.00000,0.00001,0.00001,0.00000,0.00001,0.00001
YDR364C,0.00005,0.00003,0.00006,0.00006,0.00008,0.00006
YDR365C,0.00009,0.00002,0.00006,0.00007,0.00005,0.00006
YDR367W,0.00011,0.00009,0.00010,0.00012,0.00008,0.00008
YDR368W,0.00057,0.00036,0.00062,0.00065,0.00062,0.00066
YDR369C,0.00005,0.00006,0.00007,0.00009,0.00012,0.00008
YDR370C,0.00001,0.00001,0.00001,0.00003,0.00003,0.00002
YDR371C-A,0.00188,0.00103,0.00200,0.00121,0.00095,0.00116
YDR371W,0.00016,0.00004,0.00031,0.00029,0.00031,0.00033
YDR372C,0.00002,0.00000,0.00002,0.00002,0.00001,0.00002
YDR373W,0.00006,0.00005,0.00008,0.00007,0.00008,0.00006
YDR374C,0.00001,0.00001,0.00002,0.00001,0.00001,0.00003
YDR374W-A,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001
YDR375C,0.00115,0.00072,0.00160,0.00172,0.00182,0.00165
YDR376W,0.00097,0.00103,0.00136,0.00179,0.00162,0.00163
YDR377W,0.00002,0.00003,0.00005,0.00003,0.00003,0.00002
YDR378C,0.00067,0.00050,0.00122,0.00126,0.00141,0.00124
YDR379C-A,0.00018,0.00004,0.00036,0.00019,0.00021,0.00018
YDR379W,0.00309,0.00180,0.00318,0.00348,0.00314,0.00265
YDR380W,0.00782,0.00869,0.01031,0.01178,0.01245,0.01191
YDR381C-A,0.00040,0.00031,0.00040,0.00035,0.00040,0.00040
YDR381W,0.00010,0.00004,0.00005,0.00003,0.00004,0.00003
YDR382W,0.00010,0.00008,0.00014,0.00015,0.00019,0.00020
YDR383C,0.02684,0.01706,0.05958,0.07159,0.08837,0.08691
YDR384C,0.00011,0.00008,0.00009,0.00027,0.00034,0.00031
YDR386W,0.00003,0.00002,0.00004,0.00004,0.00005,0.00004
YDR387C,0.00015,0.00006,0.00011,0.00008,0.00007,0.00008
YDR389W,0.00003,0.00002,0.00003,0.00002,0.00003,0.00001
YDR390C,0.00019,0.00008,0.00033,0.00026,0.00029,0.00023
YDR391C,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000
YDR392W,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000
YDR393W,0.00158,0.00207,0.00203,0.00276,0.00258,0.00245
YDR394W,0.00005,0.00001,0.00005,0.00005,0.00004,0.00005
YDR395W,0.00004,0.00004,0.00006,0.00003,0.00003,0.00004
YDR396W,0.01346,0.00475,0.01382,0.00940,0.00916,0.00900
YDR397C,0.00012,0.00009,0.00013,0.00010,0.00013,0.00011
YDR398W,0.00005,0.00002,0.00003,0.00005,0.00002,0.00002
YDR399W,0.00009,0.00006,0.00005,0.00006,0.00006,0.00004
YDR400W,0.00013,0.00017,0.00019,0.00010,0.00004,0.00004
YDR401W,0.00032,0.00018,0.00038,0.00024,0.00029,0.00026
YDR402C,0.00305,0.00263,0.00353,0.00279,0.00238,0.00237
YDR403W,0.00050,0.00047,0.00056,0.00054,0.00041,0.00050
YDR404C,0.00014,0.00007,0.00008,0.00008,0.00009,0.00008
YDR405W,0.00005,0.00004,0.00006,0.00016,0.00017,0.00021
YDR406W-A,0.00055,0.00028,0.00131,0.00098,0.00107,0.00111
YDR406W,0.00210,0.00189,0.00237,0.00234,0.00205,0.00196
YDR407C,0.00002,0.00004,0.00003,0.00002,0.00005,0.00003
YDR408C,0.00092,0.00111,0.00098,0.00092,0.00091,0.00098
YDR409W,0.00057,0.00058,0.00123,0.00203,0.00189,0.00183
YDR410C,0.00029,0.00014,0.00043,0.00025,0.00031,0.00023
YDR411C,0.00006,0.00005,0.00005,0.00005,0.00006,0.00007
YDR412W,0.00002,0.00001,0.00002,0.00002,0.00003,0.00005
YDR413C,0.01356,0.00288,0.01344,0.00727,0.00674,0.00843
YDR414C,0.00166,0.00059,0.00132,0.00096,0.00068,0.00075
YDR415C,0.00008,0.00006,0.00006,0.00010,0.00009,0.00009
YDR416W,0.00008,0.00007,0.00008,0.00013,0.00016,0.00009
YDR417C,0.16050,0.13777,0.19942,0.23256,0.25140,0.24974
YDR418W,0.00011,0.00008,0.00014,0.00011,0.00014,0.00010
YDR419W,0.00009,0.00007,0.00012,0.00012,0.00012,0.00014
YDR421W,0.00014,0.00018,0.00012,0.00021,0.00025,0.00022
YDR422C,0.00004,0.00002,0.00002,0.00002,0.00002,0.00001
YDR423C,0.00003,0.00002,0.00003,0.00002,0.00004,0.00002
YDR424C,0.00016,0.00022,0.00026,0.00031,0.00029,0.00027
YDR425W,0.00079,0.00042,0.00013,0.00013,0.00012,0.00014
YDR426C,0.00287,0.00130,0.00240,0.00181,0.00154,0.00188
YDR427W,0.00084,0.00053,0.00142,0.00128,0.00138,0.00123
YDR428C,0.00199,0.00108,0.00304,0.00238,0.00264,0.00220
YDR429C,0.00004,0.00000,0.00002,0.00001,0.00002,0.00002
YDR430C,0.00004,0.00004,0.00006,0.00010,0.00012,0.00011
YDR431W,0.00293,0.00166,0.00267,0.00212,0.00220,0.00249
YDR432W,0.00004,0.00004,0.00007,0.00003,0.00004,0.00005
YDR433W,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
YDR434W,0.00023,0.00012,0.00051,0.00050,0.00057,0.00053
YDR435C,0.00002,0.00001,0.00005,0.00001,0.00003,0.00003
YDR436W,0.00003,0.00002,0.00003,0.00009,0.00009,0.00008
YDR437W,0.00015,0.00010,0.00013,0.00016,0.00017,0.00015
YDR438W,0.00109,0.00051,0.00122,0.00085,0.00081,0.00089
YDR439W,0.00012,0.00004,0.00017,0.00013,0.00011,0.00012
YDR440W,0.00035,0.00030,0.00053,0.00059,0.00059,0.00041
YDR441C,0.00093,0.00029,0.00065,0.00047,0.00043,0.00051
YDR442W,0.00451,0.00283,0.00487,0.00363,0.00357,0.00385
YDR443C,0.00004,0.00006,0.00011,0.00009,0.00007,0.00007
YDR444W,0.00005,0.00003,0.00002,0.00003,0.00002,0.00004
YDR445C,0.00242,0.00110,0.00270,0.00212,0.00212,0.00221
YDR446W,0.00036,0.00017,0.00070,0.00060,0.00075,0.00088
YDR447C,0.00002,0.00002,0.00003,0.00004,0.00002,0.00002
YDR448W,0.00054,0.00042,0.00061,0.00043,0.00045,0.00045
YDR449C,0.00002,0.00000,0.00001,0.00006,0.00004,0.00008
YDR450W,0.00002,0.00000,0.00003,0.00002,0.00003,0.00003
YDR451C,0.00054,0.00047,0.00042,0.00063,0.00067,0.00060
YDR452W,0.00046,0.00042,0.00108,0.00315,0.00368,0.00359
YDR453C,0.00049,0.00021,0.00095,0.00072,0.00089,0.00086
YDR454C,0.00033,0.00043,0.00032,0.00028,0.00033,0.00023
YDR455C,0.00479,0.00710,0.00561,0.00632,0.00613,0.00616
YDR456W,0.00044,0.00017,0.00023,0.00029,0.00033,0.00037
YDR457W,0.00006,0.00002,0.00003,0.00004,0.00002,0.00003
YDR458C,0.00013,0.00012,0.00017,0.00019,0.00020,0.00019
YDR459C,0.00001,0.00003,0.00006,0.00004,0.00005,0.00004
YDR460W,0.00002,0.00004,0.00006,0.00010,0.00015,0.00007
YDR461C-A,0.00003,0.00003,0.00006,0.00009,0.00010,0.00010
YDR461W,0.00005,0.00005,0.00007,0.00005,0.00005,0.00004
YDR462W,0.00001,0.00001,0.00002,0.00001,0.00001,0.00002
YDR463W,0.00002,0.00001,0.00003,0.00004,0.00003,0.00002
YDR464C-A,0.00277,0.00071,0.00260,0.00147,0.00133,0.00172
YDR464W,0.00050,0.00012,0.00116,0.00076,0.00091,0.00097
YDR465C,0.00017,0.00004,0.00032,0.00018,0.00019,0.00020
YDR466W,0.00086,0.00071,0.00096,0.00118,0.00106,0.00115
YDR467C,0.00467,0.00188,0.00459,0.00309,0.00312,0.00306
YDR468C,0.00012,0.00005,0.00019,0.00011,0.00018,0.00012
YDR469W,0.00071,0.00031,0.00145,0.00126,0.00152,0.00127
YDR470C,0.00061,0.00019,0.00070,0.00046,0.00045,0.00057
YDR471W,0.00006,0.00004,0.00006,0.00005,0.00005,0.00006
YDR472W,0.00020,0.00009,0.00018,0.00014,0.00017,0.00022
YDR473C,0.00006,0.00004,0.00002,0.00008,0.00009,0.00009
YDR475C,0.00206,0.00211,0.00222,0.00186,0.00195,0.00210
YDR476C,0.00078,0.00062,0.00069,0.00081,0.00090,0.00083
YDR477W,0.00005,0.00005,0.00006,0.00004,0.00006,0.00004
YDR478W,0.00103,0.00047,0.00142,0.00119,0.00124,0.00122
YDR479C,0.00430,0.00284,0.00531,0.00370,0.00411,0.00402
YDR480W,0.00061,0.00074,0.00115,0.00107,0.00104,0.00090
YDR481C,0.00009,0.00006,0.00016,0.00013,0.00017,0.00018
YDR482C,0.00003,0.00004,0.00003,0.00002,0.00003,0.00005
YDR483W,0.00004,0.00001,0.00002,0.00003,0.00003,0.00004
YDR484W,0.00039,0.00008,0.00070,0.00043,0.00045,0.00038
YDR485C,0.00010,0.00003,0.00016,0.00010,0.00010,0.00010
YDR486C,0.00010,0.00010,0.00008,0.00009,0.00012,0.00012
YDR487C,0.00010,0.00011,0.00019,0.00023,0.00021,0.00019
YDR488C,0.00003,0.00002,0.00001,0.00002,0.00001,0.00001
